[2018-02-09T13:53:41.639] [INFO] BlockPoc - register an api:/putChainMsg
[2018-02-09T13:53:41.666] [INFO] BlockPoc - register an api:/replyMsg
[2018-02-09T13:53:41.679] [INFO] BlockPoc - Server init success.Start running ...
[2018-02-09T13:53:41.690] [ERROR] BlockPoc - uncaught exception: ReferenceError: ServerConfig is not defined
    at runServer (/Users/apple/program/poc_2018_02/app.js:42:59)
    at /Users/apple/program/poc_2018_02/app.js:87:5
    at /Users/apple/program/poc_2018_02/app.js:23:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3874:9
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:473:16
    at replenish (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:993:25)
    at iterateeCallback (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:983:17)
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:958:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3871:13
    at /Users/apple/program/poc_2018_02/app.js:16:13
[2018-02-09T13:53:41.741] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.741] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.742] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.742] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.743] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.743] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.744] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.744] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.745] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.745] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.746] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.746] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.747] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.747] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.748] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.748] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.749] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.749] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.750] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.750] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.751] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.751] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.752] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.752] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.753] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.753] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.754] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.754] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.755] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.755] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.756] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.756] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.756] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.757] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.758] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.758] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.759] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.759] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.759] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.760] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.760] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.761] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.761] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.762] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.763] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.763] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.763] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.764] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.764] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.765] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.765] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.766] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.767] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.767] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.768] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.769] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.770] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.770] [INFO] BlockPoc - 退出前处理 0 undefined
